18482 16606988.9100
11561 10133 288.2440
7987 1335 180.0310
7987 1579 48.9940
7987 16891 1535.6600
7987 17657 2492.1290
15783 4415 117.4190
15783 8744 93.7770
14495 6395 1031.7910
5806 14087 6494.3950
8601 3301 170.4940
8601 3503 331.6110
8601 6731 4066.9710
1859 10588 117.4030
1859 13072 309.6910
5000 3803 133.1620
5000 11326 13.0860
5000 12612 25.2320
10810 4764 796.7990
10810 6265 288.5230
10810 6293 113.4620
10810 12630 73.4660
10810 17462 102.9160
2729 59 1673.8800
2729 3683 656.7840
2729 4372 52.9300
7866 3593 749.4180
14099 1273 129.6520
3478 2859 1344.5750
11196 6711 1733.1540
11196 16998 98.9590
1980 651 400.6340
1980 2873 418.3990
1980 3429 2323.2360
1980 7489 200.2460
4734 4284 7706.8920
4734 11712 786.9740
4734 15739 834.1830
4734 17603 1205.3730
13617 2504 152.3240
13617 6525 457.8100
13617 7662 270.1800
13617 7708 881.7230
15427 4490 46.8780
15427 4503 2714.2640
15427 8183 383.9270
8522 15078 1600.6780
4900 2539 1509.6900
4900 5492 1029.1020
2539 4404 1908.2520
2539 14052 1452.8770
2539 14874 46.1800
16066 6665 206.4260
16066 7618 155.8300
28 14698 20.5860
14698 2574 2645.3660
14698 5633 1053.0390
14698 9939 1918.9020
14698 13760 234.1870
14698 14282 749.9050
14698 14700 254.7730
14698 18001 2374.9740
4812 13672 92.2580
4812 16522 50.9550
4812 18274 2804.2990
17386 11135 2530.5260
17386 14444 2376.9410
17386 15482 1921.4050
17386 15862 554.6110
14612 3227 1338.8860
14612 7440 425.3150
3485 11256 452.3960
3485 16331 137.3450
3485 17535 328.9450
2287 4209 410.5740
6012 5122 105.9950
6012 13623 143.7950
5122 3181 312.3200
10440 5265 2804.7940
16217 12845 834.8180
4059 3388 107.1630
4059 4901 258.6000
4059 5867 11.4460
4059 11036 571.3900
4059 11872 4.0690
4059 12480 0.2310
4059 16036 1245.3350
5870 2503 157.0390
5870 12875 560.2470
3296 2936 561.9750
11896 374 404.6830
7113 6591 611.2550
8345 697 1416.0860
8345 9034 1414.5870
8345 12635 586.3740
15438 6423 444.4590
15438 8806 571.9320
15438 18323 181.2160
5510 8803 449.0560
13644 1878 2920.0690
18049 2294 149.9870
18049 4966 275.5020
18049 13644 152.6260
3132 6385 1034.3180
3132 14752 55.6240
9877 14752 2567.2370
14752 2923 1690.6910
18641 9937 52.5650
6132 18282 1466.9850
6132 18735 22.9550
4870 2615 1899.2690
4870 3810 429.2750
4870 13693 138.8020
8716 9980 395.1200
8716 15943 321.9370
2444 3875 102.7020
2444 10475 140.6380
2444 14349 150.7330
2443 16792 116.9720
4128 1856 158.0430
4128 7472 183.0040
8211 15320 526.1110
15320 12221 3368.1960
7012 8228 1143.4320
7012 9081 1915.0610
7012 10374 129.9100
7012 12869 1669.5430
7012 12875 834.1900
1922 4229 380.4570
12062 16266 692.6530
10219 11791 916.8630
10219 13597 734.1520
1483 4746 22.1870
1483 8578 28.2370
1483 15029 278.1500
1483 15074 1190.1900
1483 16139 94.6150
4490 2397 1008.3430
4490 4875 613.4600
4490 4901 146.9760
4490 14669 1013.6910
4490 17602 296.1200
11694 3084 1405.6230
11694 3190 3242.7670
11694 4732 510.3520
11694 5427 27.4210
11694 10597 1257.8040
11694 18691 300.6840
4699 10872 107.1970
4699 15818 45.4270
10950 12211 53.6930
4791 10834 114.8790
4647 1462 823.2600
4647 12383 93.7590
13399 1441 189.8330
13502 2396 181.8300
13502 8950 2149.5030
13502 13399 221.2060
777 5800 3128.3180
777 9158 956.1890
777 10291 2876.4520
777 16303 39.6450
2134 6404 1687.9810
2134 10245 1071.7440
2373 737 1534.0400
12882 2373 709.6630
12882 17502 84.0450
11212 4750 753.1300
11212 10615 0.6010
7878 4059 7424.5420
9202 167 1355.1860
9202 15018 194.4670
10609 14936 1083.7850
10911 820 1712.4240
10911 6763 344.4060
10911 10910 319.1680
9091 17067 26.9610
13812 11093 200.5360
7187 5875 292.2030
7187 6213 1184.4420
7187 13198 44.1920
7187 16810 163.6130
7613 9077 300.0930
17707 3 166.9890
17707 11695 1361.6020
10204 10377 279.6890
15877 2217 290.6130
15877 5757 115.6510
15877 13213 206.4010
13597 3746 5128.1590
11736 4439 1803.0500
11736 14335 7357.1430
4439 5024 2289.7050
4439 6183 224.7910
2864 8359 4173.6950
2864 11567 85.7630
2864 17792 67.8080
9804 11481 3742.3500
6682 1864 1253.0420
6682 9925 1021.8110
670 9804 653.4930
4383 670 3088.0440
167 1939 601.3300
167 7237 4360.0260
167 9616 1900.8530
167 13501 955.6540
167 13786 2961.6910
12937 9686 385.3180
12937 15615 162.5900
15615 9886 6995.0050
15615 12065 470.1900
3957 1091 394.1870
3957 3676 1645.8340
3957 6378 190.8050
3957 10151 2442.2810
3957 14012 3.7960
17880 7217 911.2750
17880 17092 335.0700
5127 1934 24.6530
5127 3444 532.5350
5127 9606 218.6840
5127 10124 120.7860
5127 10743 35.4320
5127 13211 81.2790
16791 17273 224.3840
10631 3135 119.4060
10631 3944 997.6720
3647 5905 1535.5990
3647 6057 260.8730
3647 10087 39.9380
3647 11020 8.8600
3647 13346 396.0950
3647 17273 215.9050
15897 5127 241.8030
15897 12866 138.8370
4297 3196 2715.9020
5545 2772 980.2970
5545 4480 827.6550
5545 5223 85.9330
4260 10166 1473.4060
4260 18302 175.3170
11409 10834 100.5410
1775 5735 7.4380
1775 7536 911.3140
1775 18107 101.8030
3158 1938 102.9500
10493 5228 1815.1480
10493 15668 810.9050
10493 16609 5798.2180
10493 16856 428.1030
10493 17565 19.0220
10904 1388 312.3760
10904 11409 1022.9120
10376 3647 246.7500
13191 2127 1.6400
13191 7091 90.5110
2458 12693 73.0260
2458 17045 75.5860
2458 17486 22.8990
2458 18575 142.6440
17077 2471 384.7720
17077 2499 139.8240
17077 12504 3.7690
17077 14453 1272.6000
17077 14580 252.3330
10112 17077 821.5680
3671 444 2129.5210
3671 3888 5065.3370
9727 5321 6395.6090
9727 6913 1647.2980
9727 7987 98.1970
9727 8942 4.0690
9727 17097 855.6490
12254 1470 1156.9670
12254 2822 8884.1710
12254 14558 26.7590
16036 5920 6241.0580
15767 235 1385.7320
15767 1945 582.7120
7938 6 7024.0090
7938 3208 53.2680
7938 14229 0.3490
10127 7070 987.7920
15922 9111 1245.4280
15922 18019 1378.2400
4091 12937 203.8660
14303 9396 6450.0910
4857 4172 382.6550
4857 15643 74.0380
7876 755 1137.1740
7876 3101 2704.2300
7876 11288 990.5890
16716 15614 84.4360
577 10725 1122.4970
16529 14775 2437.5250
16529 18189 376.5600
17180 11066 928.2280
17180 12201 319.3330
17180 16258 863.3070
17090 6429 62.4170
17090 6942 614.7560
17090 9065 1613.3630
17090 13014 85.9760
17090 18451 807.6440
5370 5200 479.5460
5784 1540 165.7940
5784 2698 952.7590
5784 3378 1945.1290
5784 10306 687.4170
5784 11236 73.1000
5784 14600 1983.8280
5784 17375 328.7880
10285 4679 83.0100
10954 3921 2472.4340
10954 16560 1491.0200
11236 10954 228.9160
11236 13722 931.5560
2793 10421 364.0080
466 2576 21.2680
10367 4130 1125.3350
15449 6532 156.8040
15449 7522 7091.8310
15449 7612 104.9540
15449 14678 78.5620
15449 16378 531.4970
6743 16393 584.0810
13663 6743 2973.8140
1008 9492 925.0140
1008 12397 1085.9870
1008 12663 819.9410
1008 14634 787.3440
1008 17003 1616.7260
16150 10987 1688.1310
16150 18053 191.0290
4415 7718 219.8810
4415 7938 22.7270
4415 9242 1088.1130
4415 9433 902.2100
4415 9965 24.3080
4415 13448 188.4210
11198 15 439.4930
11198 2720 124.9790
11198 6671 248.0160
11198 11761 6205.8840
14432 3818 18.3390
14898 126 47.6590
14898 3102 77.9350
14898 10829 201.9130
14898 13911 60.0850
3299 17603 2159.7460
13529 2141 5599.1520
13529 15767 695.2950
1528 391 139.1110
1528 10525 393.9690
1528 17936 235.7840
2091 6081 1174.6020
2091 7825 33.8730
2091 18459 4129.8210
338 409 1634.4260
338 8654 33.6560
338 12513 5424.2210
338 16786 4094.5790
12121 1223 307.2610
12121 3310 1721.3270
12121 14353 931.0970
12115 16178 51.8670
8483 6786 171.7430
11825 8483 534.8470
17631 8483 1277.3290
12891 1945 752.9700
12891 5009 3347.8200
17244 63 7778.9700
2941 2763 1549.9640
2941 2991 2236.3180
9118 16682 7999.9380
16682 13690 730.1200
16682 15705 177.5400
18019 3716 6181.7860
18019 10127 343.7490
18019 15192 4912.5070
3301 684 671.4710
3301 11478 1498.1870
3301 12317 3661.2440
3301 12674 1923.1500
9552 3160 540.8820
9552 6685 4422.2550
9552 9550 287.6320
16782 8289 1588.2990
16782 14037 535.9590
10834 2164 1029.2480
10834 13364 2705.7480
10834 14878 1527.9230
17211 2469 1917.2010
17211 7127 108.5240
17211 8955 160.1370
17211 14323 531.2170
184 135 7498.3550
184 136 2076.9100
184 335 3433.8810
184 395 1693.1560
184 585 3999.6470
184 706 1095.2500
184 780 1995.4970
184 837 3800.5920
184 1336 3060.4160
184 2840 212.5480
184 3172 307.6330
184 5497 44.4480
184 6492 557.9920
184 6887 136.5620
184 7030 1660.7710
184 7051 181.0100
184 12232 285.6060
184 13732 1568.0730
184 14136 70.7530
184 16394 747.1680
17486 6294 135.7520
16720 7710 357.3620
14059 11709 55.6010
14008 9685 170.2930
10207 8044 785.3510
10207 13476 440.2850
10207 18589 165.3050
1175 18589 169.4540
8834 161 263.4170
8834 4210 599.4340
8834 6307 85.4260
8834 8159 755.0250
8834 8562 264.9540
608 9164 238.6110
5550 9537 2372.1940
5550 16408 217.4610
5550 16902 397.0790
5550 17114 1617.3990
5550 18341 58.9420
3076 608 274.4350
3076 18398 75.5920
9164 12187 122.1200
12200 9858 268.4810
12200 12187 463.0870
15564 12187 274.4490
1540 620 2594.3620
1540 15914 19.4160
5767 549 24.6460
1515 1536 458.7770
1515 5058 34.2000
1515 11306 793.9880
1214 7258 1110.2340
1214 15611 361.3990
9610 7596 4521.9660
17674 7596 4581.6850
17674 12880 1998.7480
10242 2723 392.6980
10242 11993 346.5130
14808 1840 266.7230
14808 8880 1500.2030
1358 889 1038.4930
1358 17257 1370.9850
5675 3194 337.4820
5675 3744 1577.8400
5675 13629 823.9300
14501 3690 2510.7480
14501 10067 1052.7510
13001 5675 2473.3200
12755 4492 70.8990
14461 10875 259.7210
14461 13990 1452.7690
14461 17154 314.3840
14461 18623 269.1130
6014 403 1013.9100
6014 2754 1910.1110
353 5989 1975.4240
353 15519 132.4650
9099 17792 520.7840
13715 6677 253.4670
13715 10226 814.9760
13715 12990 176.6580
13715 14907 1621.5790
13715 17783 59.8130
15227 579 414.9680
15227 18444 2410.4550
945 5114 3716.0080
945 15733 522.1400
12809 945 8352.8900
2995 7004 158.5830
9599 10951 2778.2760
2090 16499 3474.1730
2090 17918 73.3920
9348 9967 2508.2030
9348 11531 332.1200
9348 13521 1005.2090
9348 16212 5345.0120
13945 10282 1472.3240
13945 14251 539.7770
16717 12950 233.4530
16717 16512 1435.5190
14806 9550 168.2120
139 5870 5743.8200
139 8388 6198.2150
139 14149 3315.7360
11201 7580 280.5450
11201 8299 312.2920
11201 13640 700.9300
11856 9593 1779.3430
11856 12341 120.9860
11856 13897 2522.8680
5295 2831 327.5920
5295 12785 97.2520
18007 1483 1025.1230
2929 15817 4386.5740
15817 11856 2592.7670
1754 1084 4424.8940
1754 5670 30.6210
5340 10460 1066.4390
10460 11266 1009.4470
8489 3793 102.9330
8489 6789 367.7130
8489 7843 424.2510
8489 8295 85.0610
7091 2279 435.5510
7091 3237 335.5730
7091 4040 11.5430
7091 9920 46.4800
7091 11409 22.8060
13829 18014 898.5780
16149 16151 3414.8030
16151 6600 2383.1960
16151 15912 39.6030
16151 18403 2310.1330
7743 10481 1380.4340
7743 13523 915.5010
7743 15017 1063.8100
7743 15556 4024.3790
7743 16109 797.1950
15556 9572 1764.2910
8545 2154 324.7330
8545 2683 123.8770
8545 14208 7830.1900
18547 5685 52.3240
18547 16368 491.5060
13128 2589 194.4360
13128 3009 242.7580
5881 3887 311.9040
5881 13134 87.1090
3370 5186 198.8210
1627 4969 510.3160
2847 3115 111.6680
2847 4563 261.9330
4982 12480 214.8610
4982 13777 79.8630
8759 2847 37.9850
8759 5038 177.8180
10942 5867 403.5790
12480 7448 101.8910
12480 13485 119.5840
15469 8078 364.7100
15469 12131 65.4000
15469 13888 150.3440
15469 18068 145.0440
13237 14286 1076.1570
13237 17449 45.3250
17120 3292 749.2770
17120 9831 158.6420
17120 15060 722.6650
4713 1160 9.1320
4713 2679 9.3460
4713 15218 170.2960
7896 6468 81.4070
7896 15034 69.2040
3138 1887 41.6520
3138 6830 161.8160
3138 9029 2205.2230
3138 9570 165.5440
3138 11024 109.7240
7663 1701 479.2180
7663 4055 57.3770
7663 5788 2.1870
7663 10365 1500.7990
6100 1155 119.9550
6100 6599 115.6610
6100 10056 22.6210
6100 13985 83.0480
13957 4375 2223.6820
15046 9182 30.0430
15046 13082 885.3300
15855 7 943.8840
17596 8039 161.6860
4235 3982 761.5920
4235 12086 4601.0680
134 3174 1793.7340
134 3881 301.7890
134 11807 1227.2490
134 12504 126.9200
134 16764 1613.7710
134 17134 102.2520
7216 8809 403.0160
7216 17982 91.7360
12824 18640 26.8640
17097 6049 1666.9000
17766 1323 315.2890
17766 9811 3344.0450
16605 462 1378.9490
16605 3528 809.4170
16605 13690 452.3180
15229 5449 749.3500
15229 7876 522.9200
13356 2546 3649.4300
13356 7630 778.2940
13356 14807 2672.0520
9256 8520 951.2600
7907 8963 114.0200
3217 3149 140.9630
9670 17879 1158.5630
17879 2196 40.5540
17879 5246 105.4480
17879 8923 1868.0170
8980 7371 254.6040
8980 9104 1143.1080
8980 17278 1862.7910
16525 4548 626.8460
16525 10564 626.4910
16525 17270 38.9540
14325 3629 72.7330
14325 5604 939.5170
14325 9216 74.6700
14325 14848 202.4470
14325 16361 16.2820
14325 17933 33.4890
9128 1021 93.2690
9128 7497 285.1550
9128 10560 84.4080
9128 11038 82.9450
9128 12888 340.2540
9128 13838 22.3650
6084 5175 148.3450
6084 9785 219.8160
6084 15816 327.9640
6084 16389 162.9790
15625 11425 780.9480
15625 16147 80.8270
14404 17588 410.4210
14404 17843 1477.5020
10150 3990 87.4780
10150 4904 275.5890
10150 7804 52.4070
15835 11218 402.7930
10503 2111 759.2110
10503 3240 755.1500
10503 4574 888.6760
2187 6743 4661.0890
4431 10503 569.9780
4758 10819 147.8670
4758 18531 401.2240
10819 3489 781.7350
10819 5240 1670.4110
10819 16434 1074.4050
11116 10819 300.6570
16556 12468 194.6990
16556 12635 185.2400
16556 14119 20.8500
11890 1483 1476.1750
3381 1191 811.6230
3381 11073 642.2730
11582 6326 192.5190
11582 10498 48.0740
11582 10666 138.2920
3061 8377 620.5910
14070 7823 27.8640
2660 14070 1978.2250
9297 9550 9047.7290
5760 11501 167.1470
17400 2205 2494.3310
17400 13051 995.0780
10402 8314 3444.9310
9600 9599 1992.1340
2360 528 207.0950
2360 1085 271.3720
2360 2579 486.8300
2360 8522 179.4910
12570 6460 1820.7610
4203 933 1241.1100
4203 4041 2779.2820
11971 6989 5006.0250
11971 7891 1393.6350
11971 8352 749.5800
11971 12216 1990.6910
3724 3442 551.2950
3724 4964 246.7600
3724 6047 48.0660
3724 6732 53.3740
16125 6961 55.5850
16125 8900 112.3170
16125 17587 17.1140
18350 10188 3553.1320
18350 16125 75.2960
7241 2097 54.8530
7241 4720 352.0750
7241 5973 7.2950
7241 6047 44.7430
7241 10150 76.5600
7241 13329 34.5140
11393 2776 96.9260
11393 6451 55.9560
11393 14019 577.8340
11393 17698 24.1270
17964 1322 305.0080
17964 9341 273.2260
17964 16694 35.7310
4209 2913 118.3020
4209 5737 138.7890
4209 6100 100.2100
4209 16913 449.5460
10661 8022 1342.1060
10661 8199 13.2410
15619 2877 377.0020
16613 6963 225.7430
16613 11393 162.1680
5751 4209 218.7290
7491 6905 91.4080
7491 13571 65.3600
7491 14695 20.8990
7491 14925 20.8360
7491 15240 195.5500
7491 17468 201.7820
7491 17991 1981.2780
5403 2881 530.6260
5403 15719 95.4730
3314 884 620.1700
3314 14569 108.5460
3314 14572 342.6860
14569 14236 1134.4110
14569 18083 1777.2810
2942 12642 754.3060
7379 2522 210.5930
7379 8508 296.9250
18409 9347 27.5030
18409 16100 2.5600
13551 6084 382.7600
1574 14318 1073.1540
12808 392 369.7670
12808 744 123.3660
12808 2216 254.7460
12808 5190 99.1540
12808 6785 370.0020
12808 7197 64.6210
12808 8867 436.5870
12808 9054 2686.3350
12808 13349 136.2760
18110 6850 373.5540
5804 5865 368.2100
5804 9576 126.6880
5804 10015 20.3700
5804 15243 11.6010
3208 114 108.7720
3208 10015 40.9150
3208 10886 25.5780
3208 14219 42.7420
11037 6012 161.3380
11037 12855 21.9950
10067 14735 3670.3580
13946 3153 17.3310
13946 13278 79.7770
15305 18019 160.5380
8230 10322 97.7930
8663 4915 45.2480
2139 2492 1482.5060
2139 5765 67.3920
2139 13881 72.1740
2139 15603 67.9130
2139 15811 106.8170
18376 358 4534.4820
18376 6986 4550.3550
6976 18376 2538.6260
3160 7122 981.8220
3160 16923 5412.5830
1396 1048 5364.3060
1396 5824 181.1950
7632 184 83.6580
7632 4572 160.2030
7632 11187 733.2800
7632 11540 102.8580
4842 14038 1483.3750
15256 15980 313.9390
15256 17225 262.6420
2122 4509 795.9740
2122 10838 202.9200
2122 16742 377.5800
10439 12590 627.2900
10439 14583 1069.6640
3195 4346 599.5190
3195 5706 4305.9040
621 917 1105.5930
621 2408 198.9390
621 10439 381.8090
16742 621 563.9260
9037 14070 743.0740
12072 3005 8680.8530
3793 477 2542.0630
3793 3927 1514.8630
3793 9094 51.1490
3793 14582 39.8990
6320 13502 185.0890
6320 13503 4136.2920
13908 673 1970.1960
13908 1616 324.5740
13908 16901 3306.9040
1616 13907 51.7260
6153 220 85.7810
6153 5560 41.5230
6153 14478 580.2050
10507 12323 821.7550
10507 14565 2507.4870
9840 5430 95.6150
9840 14981 4325.0930
9840 16757 70.5530
8309 5728 1843.0400
8309 7419 4795.9280
8108 7423 5477.0000
7423 9352 276.9170
7423 18347 488.3660
2632 3158 852.1850
3154 830 29.7330
13126 2122 786.0870
9938 9994 281.2790
9938 16227 3116.8220
9938 17169 1353.8770
9459 1078 34.6770
9459 3514 1173.9910
9459 5014 748.2340
14894 1483 543.5820
14894 9608 1465.0420
4696 10583 1526.8980
16680 2140 71.0830
16680 14140 2036.1570
16680 15989 35.9490
16680 17527 2548.7190
16680 18434 250.5070
12760 4415 228.9030
12760 10389 2535.6010
347 7907 81.5210
2935 18766 156.4450
6319 7727 2455.6400
7727 10379 74.2520
7727 17147 258.5240
7727 17321 576.6810
12921 1236 696.9820
12921 14575 92.1490
12921 15990 1128.5880
14572 3121 244.2840
14572 14203 290.3050
14572 15847 1140.6010
11167 7771 7.0990
11167 10493 192.5030
4721 9025 1505.1920
4721 17011 43.9590
4721 18338 3110.5740
15631 9294 182.9470
15631 17724 34.1540
4511 18162 67.0210
2202 16209 10.6180
9112 5477 439.8640
15807 1156 59.7830
15807 18046 97.9390
6826 734 528.9000
6826 3820 2701.1380
6826 6925 6220.2160
6826 9995 2564.6060
17289 3478 263.4330
17289 8238 26.3170
17289 12630 147.7700
10935 1274 715.7730
10935 16254 2742.5260
2679 106 419.8240
2679 13003 930.7250
2679 15479 1391.2320
2679 18504 341.6170
12383 2012 3218.1620
12383 8295 128.9430
12383 11632 1270.4260
12383 12360 1134.0170
12383 16187 950.0000
8683 5486 32.1960
16997 13413 243.3340
15689 3423 32.3970
15689 6920 3580.4840
15689 7409 1087.9220
15689 8149 55.4410
15689 8163 244.7910
15689 12436 103.7340
18467 9360 2038.6110
18467 15793 344.1690
17680 10145 58.6770
5349 12240 413.4090
17098 4761 80.4420
16951 4761 78.9060
16951 8497 33.9780
16951 9315 876.4370
16951 11342 256.6300
16951 12143 44.2200
11657 8130 208.8170
11657 15757 977.0430
10746 16021 990.9730
10382 1199 458.1840
10382 2787 356.2790
10382 6291 181.4330
10382 6430 635.1330
10382 9149 23.6550
10382 15083 187.1650
13790 989 979.7000
13790 2561 2859.9400
13790 4804 118.8560
13790 7532 569.6990
13790 10019 58.9900
13790 11262 6285.2700
13790 13714 273.5970
10039 6564 305.9720
12738 16577 326.1950
12918 9262 1328.8920
18578 12478 715.7860
11685 16500 3049.4600
11685 18372 6094.2150
15435 18448 936.0900
15114 6370 3624.6850
15114 7095 484.4450
15989 1909 1770.2240
11477 15404 479.1480
13979 7797 367.4770
13979 15062 2463.9800
16691 12275 8.7990
16691 14488 140.7860
4527 3792 209.4890
4527 9432 123.9110
11256 275 226.8190
11256 11443 111.9440
11895 13328 830.7620
12010 1689 3042.4600
2117 12010 1465.6580
1187 10040 588.8880
1187 11178 322.1000
1187 18486 186.8940
6415 13617 3705.7660
17897 3854 534.7230
17897 13831 597.1720
18646 779 72.6600
18646 7221 513.8000
18646 15214 5401.1910
18646 18704 100.4260
18697 4262 985.1990
18697 6892 20.4090
18697 8861 774.2200
18697 12890 415.6110
18697 13867 169.4020
15405 11483 9.7730
13359 1815 296.8290
13359 2907 1633.5880
15056 5779 95.5880
1172 3250 493.0080
14816 13134 603.7600
9094 830 144.0110
9094 1164 76.1860
9094 2295 118.2990
9094 4476 769.9730
9094 4576 7048.1370
13940 17116 872.5440
8150 4157 181.8280
8600 4669 404.5330
13986 6169 70.0960
2319 2922 79.8290
2319 8010 486.1990
2319 17011 174.4260
4669 12150 59.0930
6169 2505 2645.9660
6169 3571 360.2450
6169 7241 195.2400
6169 8415 152.6020
455 18467 1143.4030
5427 18511 1234.8920
9780 5427 110.5470
6000 474 4184.6010
6000 17081 347.1060
11470 908 1372.3640
11470 7021 553.4710
11470 11484 556.7830
11470 14005 511.0560
15924 197 1089.2090
15924 366 123.8320
15924 1696 1390.1480
15924 4612 1264.7450
15924 8314 995.0700
10921 11753 928.8730
219 12659 4327.1880
164 1796 49.1190
164 2627 72.0850
164 17069 107.7520
277 1053 360.0860
277 2752 89.5270
277 3615 296.6300
702 277 6.2560
702 3089 63.8290
702 3988 52.0580
702 10673 239.3000
702 13849 230.4490
702 16185 274.1610
702 17304 40.0190
702 17306 5.3900
3288 2608 774.7380
3288 10529 55.5140
3288 13400 263.9000
5173 2015 110.1400
5173 2515 701.3930
5173 3998 1281.0800
5173 7679 1405.5650
5173 9295 106.4570
5173 12101 253.1500
5173 12998 1682.1530
5173 14489 34.4580
10363 1601 65.1720
10363 6153 19.2750
12636 869 124.0280
12636 17053 26.7760
12896 3889 90.1570
12896 4666 91.5520
12944 676 15.0890
12944 3196 73.4430
12944 9314 53.6370
12944 11690 132.4670
12944 11824 7.1220
12944 15353 119.0380
12944 16361 111.0390
13366 6722 126.6360
13366 14239 122.5750
13575 2752 40.5240
14131 8755 154.2500
14131 10694 50.1530
16163 11143 19.5470
16275 852 27.3800
16275 6014 63.7550
16275 9291 136.2520
16275 10529 44.5690
16275 11236 179.7130
16275 12258 33.7070
16275 14890 199.3430
16275 16582 17.1730
14754 4063 170.9490
14754 5049 36.9130
14754 10470 6650.4550
4062 8350 472.8240
4062 9699 37.4440
11224 11409 51.8900
11224 15739 2181.1890
2156 12875 373.6410
2156 13184 4164.6020
2156 14849 563.4950
2156 15398 2960.8520
2156 16261 1431.6340
4596 4679 108.9920
10625 2447 119.2990
10625 3662 1384.7650
10625 13344 39.4230
7941 7371 332.2270
7941 12798 1086.0350
768 4544 169.0090
12469 2679 482.9190
12469 4544 783.2330
12469 15870 6516.9120
7567 14395 434.0030
14395 8050 1461.6450
18471 14525 1251.0380
16015 5444 1624.1750
3101 15172 983.3000
7934 4901 718.4250
12453 8075 4758.8110
4430 17386 5680.0810
11202 1285 484.4960
11202 5579 28.2130
11202 7987 102.2990
4674 1576 110.2280
4674 7261 1499.9430
5579 4744 1611.9560
5579 14913 2028.7290
3067 1003 156.6270
3067 11952 95.0130
3067 16937 210.9250
1560 7210 7131.2050
1560 10361 131.4850
1560 15673 2668.3760
8024 10356 198.8700
11851 278 53.7010
11851 3155 564.9510
6808 2143 1805.2480
6808 3199 625.6620
6808 6149 522.3940
4245 5460 2643.6920
4245 18019 910.1250
2977 4245 572.3790
2977 16793 175.5810
8919 14461 144.2140
15165 11751 2437.1090
250 9377 1080.4920
250 10592 37.5170
14921 323 719.6960
14921 10923 181.8830
